id,username,password
2,StarGazer,MilkyWay123
3,MoonWalker,LunarLander456
4,SunChaser,SolarFlare789
5,PlanetHopper,GalacticVoyage234
6,CometTail,Stardust!567
7,AsteroidBelt,RockyRealm890
8,CosmicSurfer,VoidSurf!901
9,NebulaDreamer,GasCloud!012
10,GalaxyGuardian,SpiralArms123
11,SpacePirate,BlackHole!456
12,MeteorShower,FallingStar789
13,OrbitNavigator,SatelliteView234
14,StarlightSeeker,NightSky345
15,AuroraWatcher,Borealis456
16,BlackHoleSpy,EventHorizon567
17,QuantumJumper,Subatomic890
18,RocketRider,Thruster!901
19,AlienAnthropologist,ExoCulture012
20,VoidVoyager,DarkMatter123
21,InterstellarNomad,CosmoCaravan456
